techniqueID,technique_name,tactic,score,is_subtechnique,atomic_link
T1036.005,Match Legitimate Resource Name or Location,defense-evasion,12,True,https://github.com/redcanaryco/atomic-red-team/blob/master/atomics/T1036.005/T1036.005.md
T1059.001,PowerShell,execution,12,True,https://github.com/redcanaryco/atomic-red-team/blob/master/atomics/T1059.001/T1059.001.md
T1021.001,Remote Desktop Protocol,lateral-movement,9,True,https://github.com/redcanaryco/atomic-red-team/blob/master/atomics/T1021.001/T1021.001.md
T1078,Valid Accounts,defense-evasion,9,False,https://github.com/redcanaryco/atomic-red-team/blob/master/atomics/T1078/T1078.md
T1078,Valid Accounts,persistence,9,False,https://github.com/redcanaryco/atomic-red-team/blob/master/atomics/T1078/T1078.md
T1078,Valid Accounts,privilege-escalation,9,False,https://github.com/redcanaryco/atomic-red-team/blob/master/atomics/T1078/T1078.md
T1078,Valid Accounts,initial-access,9,False,https://github.com/redcanaryco/atomic-red-team/blob/master/atomics/T1078/T1078.md
T1560.001,Archive via Utility,collection,9,True,https://github.com/redcanaryco/atomic-red-team/blob/master/atomics/T1560.001/T1560.001.md
T1562.001,Disable or Modify Tools,defense-evasion,9,True,https://github.com/redcanaryco/atomic-red-team/blob/master/atomics/T1562.001/T1562.001.md
T1567.002,Exfiltration to Cloud Storage,exfiltration,9,True,https://github.com/redcanaryco/atomic-red-team/blob/master/atomics/T1567.002/T1567.002.md
T1016,System Network Configuration Discovery,discovery,7,False,https://github.com/redcanaryco/atomic-red-team/blob/master/atomics/T1016/T1016.md
T1047,Windows Management Instrumentation,execution,7,False,https://github.com/redcanaryco/atomic-red-team/blob/master/atomics/T1047/T1047.md
T1053.005,Scheduled Task,execution,7,True,https://github.com/redcanaryco/atomic-red-team/blob/master/atomics/T1053.005/T1053.005.md
T1053.005,Scheduled Task,persistence,7,True,https://github.com/redcanaryco/atomic-red-team/blob/master/atomics/T1053.005/T1053.005.md
T1053.005,Scheduled Task,privilege-escalation,7,True,https://github.com/redcanaryco/atomic-red-team/blob/master/atomics/T1053.005/T1053.005.md
T1056.001,Keylogging,collection,7,True,https://github.com/redcanaryco/atomic-red-team/blob/master/atomics/T1056.001/T1056.001.md
T1056.001,Keylogging,credential-access,7,True,https://github.com/redcanaryco/atomic-red-team/blob/master/atomics/T1056.001/T1056.001.md
T1059.005,Visual Basic,execution,7,True,https://github.com/redcanaryco/atomic-red-team/blob/master/atomics/T1059.005/T1059.005.md
T1070,Indicator Removal,defense-evasion,7,False,https://github.com/redcanaryco/atomic-red-team/blob/master/atomics/T1070/T1070.md
T1071.001,Web Protocols,command-and-control,7,True,https://github.com/redcanaryco/atomic-red-team/blob/master/atomics/T1071.001/T1071.001.md
T1082,System Information Discovery,discovery,7,False,https://github.com/redcanaryco/atomic-red-team/blob/master/atomics/T1082/T1082.md
T1132.001,Standard Encoding,command-and-control,7,True,https://github.com/redcanaryco/atomic-red-team/blob/master/atomics/T1132.001/T1132.001.md
T1566.002,Spearphishing Link,initial-access,7,True,https://github.com/redcanaryco/atomic-red-team/blob/master/atomics/T1566.002/T1566.002.md
T1583.001,Domains,resource-development,7,True,https://github.com/redcanaryco/atomic-red-team/blob/master/atomics/T1583.001/T1583.001.md
T1585.002,Email Accounts,resource-development,7,True,https://github.com/redcanaryco/atomic-red-team/blob/master/atomics/T1585.002/T1585.002.md
